Date, Filename, Author, Github URL, Direct Download URL
2020-06-12, pdf/Adaptive-energy-LLC-DGS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Adaptive-energy-LLC-DGS.pdf
2020-07-08, pdf/Adventist-health-system-CDPH.pdf, LizNobriga, https://github.com/cagov/covid-static/blob/bf2ba301f4fc5c1363b4a9c34ff6276a4744c98c/pdf/Adventist-health-system-CDPH.pdf, https://github.com/cagov/covid-static/raw/bf2ba301f4fc5c1363b4a9c34ff6276a4744c98c/pdf/Adventist-health-system-CDPH.pdf
2020-06-29, pdf/Adventist-health-system-CDPH.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/dab5cebc9dae206acb0abab8a7386f639c1c32d3/pdf/Adventist-health-system-CDPH.pdf, https://github.com/cagov/covid-static/raw/dab5cebc9dae206acb0abab8a7386f639c1c32d3/pdf/Adventist-health-system-CDPH.pdf
2020-06-26, pdf/Advoque-DGS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/94109a603958f384886f153dfbed00f2f06291a7/pdf/Advoque-DGS.pdf, https://github.com/cagov/covid-static/raw/94109a603958f384886f153dfbed00f2f06291a7/pdf/Advoque-DGS.pdf
2020-06-23, pdf/Advoque-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Advoque-DGS.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Advoque-DGS.pdf
2020-06-23, pdf/Advoque-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Advoque-DGS.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Advoque-DGS.pdf
2020-06-18, pdf/Advoque-DGS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/12fbb4e94139303e556101ff1893cd1aacabb8ce/pdf/Advoque-DGS.pdf, https://github.com/cagov/covid-static/raw/12fbb4e94139303e556101ff1893cd1aacabb8ce/pdf/Advoque-DGS.pdf
2020-06-23, pdf/Agiliti-health-CDPH.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Agiliti-health-CDPH.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Agiliti-health-CDPH.pdf
2020-06-23, pdf/Agiliti-health-CDPH.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Agiliti-health-CDPH.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Agiliti-health-CDPH.pdf
2020-06-12, pdf/Agiliti-health-CDPH.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Agiliti-health-CDPH.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Agiliti-health-CDPH.pdf
2020-06-23, pdf/Agreement-0001A1-Abode-Executed.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Agreement-0001A1-Abode-Executed.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Agreement-0001A1-Abode-Executed.pdf
2020-06-23, pdf/Agreement-0001A1-Abode-Executed.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Agreement-0001A1-Abode-Executed.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Agreement-0001A1-Abode-Executed.pdf
2020-06-12, pdf/Agreement-0001A1-Abode-Executed.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Agreement-0001A1-Abode-Executed.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Agreement-0001A1-Abode-Executed.pdf
2020-06-23, pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/{}
2020-06-23, pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/{}
2020-06-12, pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/Agreement-001-Abode-Services-Executed_Redacted.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/{}
2020-06-23, pdf/All-clean-emergency-services-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/All-clean-emergency-services-DGS.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/All-clean-emergency-services-DGS.pdf
2020-06-23, pdf/All-clean-emergency-services-DGS.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/All-clean-emergency-services-DGS.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/All-clean-emergency-services-DGS.pdf
2020-06-12, pdf/All-clean-emergency-services-DGS.pdf, Aaron Hans, https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/All-clean-emergency-services-DGS.pdf, https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/All-clean-emergency-services-DGS.pdf
2020-06-23, pdf/Allied-network-solutions-inc-DMV-2.pdf, carterm, https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Allied-network-solutions-inc-DMV-2.pdf, https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/Allied-network-solutions-inc-DMV-2.pdf
2020-06-23, pdf/Allied-network-solutions-inc-DMV-2.pdf, carterm, https://github.com/cagov/covid-static/blob/e55db052697203e76942226af260b879f29c4167/pdf/Allied-network-solutions-inc-DMV-2.pdf, https://github.com/cagov/covid-static/raw/e55db052697203e76942226af260b879f29c4167/pdf/Allied-network-solutions-inc-DMV-2.pdf
